plasma-firewall 6.3.4-1.1
plasma-integration 6.3.4-2.1
plasma-nm 6.3.4-1.1
plasma-pa 6.3.4-1.1
plasma-systemmonitor 6.3.4-1.1
plasma-thunderbolt 6.3.4-1.1
plasma-workspace 6.3.4-2.1
plocate 1.1.23-1.1
plymouth 24.004.60-10.1
pnpm 10.10.0-1
podman 5.4.2-2.1
poppler-glib 25.04.0-1
power-profiles-daemon 0.30-2
powerdevil 6.3.4-1.1
prettierd 0.26.1-1
pv 1.9.31-1.1
python 3.13.3-2
python-defusedxml 0.7.1-7
python-packaging 25.0-1
python-pip 25.1-1
python-pynvim 0.5.2-1
python-pyqt5 5.15.11-2
python-reportlab 4.2.2-5
qemu-base 9.2.3-1
qt6-wayland 6.9.0-2.1
rebuild-detector 4.4.5-1
reflector 2023-3
ripgrep 14.1.1-2
rsync 3.4.1-2.1
rtkit 0.13-3
s-nail 14.9.25-1.1
sddm 0.21.0-8
sddm-kcm 6.3.4-1.1
sg3_utils 1.48-1.1
shellcheck-bin 0.10.0-1
slack-desktop 4.43.52-1
smartmontools 7.4-2.1
snapper 0.12.2-3.1
sof-firmware 2025.01.1-1
spectacle 1:6.3.4-1.1
splix 2.0.1-1.1
sudo 1.9.16.p2-2.1
sysfsutils 2.1.1-2.1
system-config-printer 1.5.18-5.1
tailwindcss-language-server 0.14.16-1
texinfo 7.2-1.1
timeshift 24.06.6-1.1
timeshift-autosnap 0.9-1
ttf-bitstream-vera 1.10-16
ttf-dejavu 2.37+18+g9b5d1b2f-7
ttf-ibm-plex 6.4.0-1
ttf-jost 3.7-3
ttf-liberation 2.1.5-2
ttf-meslo-nerd 3.4.0-1
ttf-opensans 3.003-1
typescript 5.8.3-1
typescript-language-server 4.3.3-1
ufw 0.36.2-5
unrar 1:7.1.6-1.1
unzip 6.0-22.1
upower 1.90.9-1.1
usb_modeswitch 2.6.2-1.1
usbutils 018-1.1
uv 0.7.2-1.1
vde2 2.3.3-6.1
vi 1:070224-6
vim 9.1.1337-1.1
virt-manager 5.0.0-1
virt-viewer 11.0-4.1
vivaldi 7.3.3635.11-1.1
vivaldi-ffmpeg-codecs 134.0.6998.178-1.2
vscode-html-languageserver 1.99.0-1
vulkan-radeon 1:25.0.5-2
wezterm 20240203.110809.5046fc22-2.1
wget 1.25.0-2.1
which 2.23-1.1
wireless-regdb 2025.02.20-1
wireplumber 0.5.8-1.1
wl-clipboard 1:2.2.1-2.1
wpa_supplicant 2:2.11-3.1
xdg-desktop-portal 1.20.0-2.1
